"","parent","code"
"559","A00SF","A00TB"
"560","A0ETG","A00TD"
"561","A00TD","A00TE"
"562","A0DCY","A00TF"
"563","A00TD","A00TG"
"564","A00TD","A00TH"
"565","A00TD","A00TJ"
"566","A00TD","A00TK"
"567","A00TD","A00TL"
"568","A00TD","A00TM"
"569","A0ETG","A00TP"
"570","A00TP","A00TQ"
"571","A0DDN","A00TR"
"572","A00TP","A00TS"
"573","A00TP","A00TT"
"574","A00ZQ","A00TY"
"575","A0ETQ","A00TZ"
"576","A0ETF","A00VA"
"577","A00VA","A00VB"
"578","A00VK","A00VC"
"579","A00VB","A00VD"
"580","A00VA","A00VE"
"581","A00VE","A00VF"
"582","A00VE","A00VG"
"583","A00VE","A00VH"
"584","A00VE","A00VJ"
"585","A00VA","A00VK"
"586","A00VK","A00VL"
"587","A00VK","A00VM"
"588","A00VK","A00VN"
"589","A04LX","A00VP"
"590","A04KB","A00VR"
"591","A04MA","A00VS"
"592","A0ESV","A00VT"
"593","A0ESV","A00VV"
"594","A0DGE","A00VX"
"595","A0DHX","A00VY"
"596","A04KB","A00VZ"
"597","A04KB","A00XA"
"598","A0DJJ","A00XB"
"599","A04MA","A00XC"
"600","A00XC","A00XD"
"601","A00XC","A00XE"
"602","A04KB","A00XF"
"603","A0DGE","A00XG"
"604","A04KB","A00XH"
"605","A04KF","A00XJ"
"606","A04MA","A00XK"
"607","A04KB","A00XL"
"608","A04KF","A00XM"
"609","A0DGE","A00XN"
"610","A0D9A","A00XP"
"611","A0D7B","A00XQ"
"612","A04KF","A00XR"
"613","A04KB","A00XS"
"614","A04LZ","A00XT"
"615","A04KD","A00XV"
"616","A04KD","A00XX"
"617","A0D7B","A00XY"
"618","A0ESV","A00XZ"
"619","A00XZ","A00YA"
"620","A00XZ","A00YB"
"621","A00XZ","A00YC"
"622","A04LZ","A00YD"
"623","A0DHZ","A00YE"
"624","A0DHQ","A00YF"
"625","A04KB","A00YG"
"626","A0DHX","A00YH"
"627","A04MA","A00YJ"
"628","A04KD","A00YK"
"629","A04KB","A00YL"
"630","A04KB","A00YM"
"631","A0D7B","A00YN"
"632","A04KF","A00YP"
"633","A04KD","A00YQ"
"634","A0ESV","A00YR"
"635","A04MA","A00YS"
"636","A0DKQ","A00YT"
"637","A04MA","A00YV"
"638","A0D7B","A00YX"
"639","A0D7B","A00YY"
"640","A0F0H","A00YZ"
"641","A07XJ","A00ZA"
"642","A04MB","A00ZB"
"643","A00ZB","A00ZC"
"644","A00ZB","A00ZD"
"645","A04MB","A00ZE"
"646","A00ZE","A00ZF"
"647","A04MB","A00ZG"
"648","A00ZA","A00ZH"
"649","A00ZH","A00ZJ"
"650","A0ETT","A00ZK"
"651","A0F3F","A00ZM"
"652","A0F3F","A00ZN"
"653","A0ETQ","A00ZP"
"654","A00ZA","A00ZQ"
"655","A0B6Z","A00ZS"
"656","A0DPP","A00ZT"
"657","A00ZT","A00ZV"
"658","A00ZT","A00ZX"
"659","A00ZS","A00ZY"
"660","A04JX","A00ZZ"
"661","A04JX","A010A"
"662","A04JX","A010B"
"663","A0DPH","A010C"
"664","A04JY","A010D"
"665","A04JY","A010E"
"666","A04JY","A010F"
"667","A0DPE","A010G"
"668","A00ZY","A010H"
"669","A010H","A010J"
"670","A04JX","A010K"
"671","A01AJ","A010L"
"672","A01AJ","A010M"
"673","A04JX","A010N"
"674","A010H","A010P"
"675","A010H","A010Q"
"676","A0B6Z","A010R"
"677","A0CXQ","A010T"
"678","A0CXP","A010V"
"679","A0CXP","A010Y"
"680","A0CXM","A010Z"
"681","A00ZS","A011C"
"682","A011C","A011D"
"683","A011C","A011E"
"684","A0ETM","A011F"
"685","A011C","A011G"
"686","A0ETM","A011J"
"687","A0EQX","A011L"
"688","A03VD","A011M"
"689","A03VD","A011N"
"690","A00ZT","A011P"
"691","A03VD","A011Q"
"692","A00ZT","A011R"
"693","A03VD","A011S"
"694","A06HL","A011T"
